5
70 28
#--------------------------
#TANK
#--------------------------
#TURRENT
22
128 128 128
0 0
1.73 .76
1.83 .60
2.43 .53
2.43 .45
2.65 .45
2.70 .52
2.85 .52
2.85 .43
3.30 .43
3.30 .50
4.08 .50
4.08 .22
4.12 .22
4.12 .56
4.32 .56
4.32 .74
4.00 .74
3.91 .84
3.70 .84
3.46 .92
2.02 .92
1.83 .90

#BODY
10
140 140 140
0 0
1.02 1.09
1.24 .98
2.06 .92
3.46 .92
3.70 .84
4.89 .84
4.89 1.12
4.36 1.12
4.36 1.32
1.17 1.32

#TRACKS
8
112 112 112
0 0
1.17 1.32
4.36 1.32
4.36 1.12
4.78 1.12
4.78 1.32
4.30 1.65
1.76 1.65
1.23 1.41

#GUN POINTS
9
196 196 196
0 0
.1 .70
.98 .70
1.05 .64
1.25 .64
1.30 .68
1.79 .68
1.73 .76
1.76 .80
.10 .80

# empty
2
0 0 0
0 0
0 0
0 0
