5
70 28
#--------------------------
#TANK
#--------------------------
#TURRENT
21
128 128 128
0 0
.78 .55
.78 .74
1.12 .74
1.20 .83
1.41 .83
1.66 .92
3.06 .91
3.26 .88
3.37 .75
3.27 .60
2.68 .53
2.68 .44
2.41 .50
2.25 .50
2.25 .43
1.81 .43
1.81 .49
1.02 .49
1.02 .22
.99 .22
.99 .55

#BODY
8
140 140 140
0 0
1.20 .83
1.66 .92
3.86 .96
4.07 1.09
3.94 1.30
.75 1.30
.75 1.11
.22 1.11

#TRACKS
7
112 112 112
0 0
.34 1.12
.34 1.29
.82 1.64
3.34 1.64
3.94 1.30
.75 1.30
.75 1.11

#GUN POINTS
9
196 196 196
0 0
3.34 .78
5.00 .78
5.00 .68
4.12 .68
4.06 .63
3.85 .63
3.80 .68
3.31 .68
3.37 .76

# empty
2
0 0 0
0 0
0 0
0 0
