1,30,172785946,8,11/3/2005 12:00:00 AM,
2,2,459692930,5,11/2/2005 12:00:00 AM,
3,35,440965598,117,10/15/2005 12:00:00 AM,turned in late
4,68,262329876,45,11/2/2005 12:00:00 AM,
5,62,234813752,30,10/1/2005 12:00:00 AM,
6,64,330200714,121,10/3/2005 12:00:00 AM,
7,17,242530867,70,11/2/2005 12:00:00 AM,
8,53,272741205,111,10/17/2005 12:00:00 AM,
9,52,150120557,7,11/30/2005 12:00:00 AM,
10,30,172785946,18,11/3/2005 12:00:00 AM,
11,68,262329876,65,11/5/2005 12:00:00 AM,
12,22,165299473,82,10/26/2005 12:00:00 AM,
13,12,165299473,13,10/11/2005 12:00:00 AM,
14,5,369219713,119,10/19/2005 12:00:00 AM,turned in late
15,29,330200714,42,11/21/2005 12:00:00 AM,
16,40,470389394,93,11/11/2005 12:00:00 AM,
17,26,418911842,40,10/18/2005 12:00:00 AM,
18,12,165299473,42,10/13/2005 12:00:00 AM,
19,17,242530867,30,10/21/2005 12:00:00 AM,
20,2,150120557,20,10/17/2005 12:00:00 AM,
21,25,369219713,85,11/11/2005 12:00:00 AM,
22,45,234813752,56,10/14/2005 12:00:00 AM,
23,66,459692930,67,11/26/2005 12:00:00 AM,
24,5,272741205,48,10/21/2005 12:00:00 AM,
25,12,165299473,41,11/14/2005 12:00:00 AM,
26,27,150120557,15,10/30/2005 12:00:00 AM,
27,11,262329876,0,10/23/2005 12:00:00 AM,
28,27,150120557,47,11/1/2005 12:00:00 AM,
29,40,131493310,59,11/27/2005 12:00:00 AM,
30,24,185445705,75,10/13/2005 12:00:00 AM,
31,41,242530867,12,10/17/2005 12:00:00 AM,
32,45,234813752,104,11/24/2005 12:00:00 AM,
33,40,131493310,85,10/16/2005 12:00:00 AM,
34,38,199768032,10,11/20/2005 12:00:00 AM,
35,27,459692930,125,11/19/2005 12:00:00 AM,
36,59,174940733,24,11/26/2005 12:00:00 AM,
37,51,165299473,5,10/4/2005 12:00:00 AM,
38,5,272741205,103,11/6/2005 12:00:00 AM,
39,10,262329876,109,11/4/2005 12:00:00 AM,
40,5,369219713,84,10/7/2005 12:00:00 AM,
41,41,418911842,10,11/13/2005 12:00:00 AM,
42,37,330200714,25,11/4/2005 12:00:00 AM,turned in late
43,40,470389394,69,10/11/2005 12:00:00 AM,
44,45,234813752,138,10/5/2005 12:00:00 AM,
45,51,165299473,46,11/14/2005 12:00:00 AM,
46,28,262329876,3,11/25/2005 12:00:00 AM,
47,17,459692930,63,10/26/2005 12:00:00 AM,
48,64,459692930,55,10/6/2005 12:00:00 AM,turned in late
49,27,459692930,32,11/6/2005 12:00:00 AM,
50,34,185445705,30,11/8/2005 12:00:00 AM,
51,17,459692930,50,10/19/2005 12:00:00 AM,
52,36,272741205,17,11/10/2005 12:00:00 AM,turned in late
53,53,369219713,69,10/6/2005 12:00:00 AM,
54,67,165299473,54,11/11/2005 12:00:00 AM,
55,56,242530867,6,10/11/2005 12:00:00 AM,
56,27,459692930,93,10/28/2005 12:00:00 AM,
57,4,234813752,63,11/22/2005 12:00:00 AM,
58,17,459692930,115,11/16/2005 12:00:00 AM,
59,25,272741205,23,10/29/2005 12:00:00 AM,
60,50,150120557,4,11/20/2005 12:00:00 AM,
61,62,234813752,9,11/15/2005 12:00:00 AM,
62,22,272741205,72,10/3/2005 12:00:00 AM,
63,17,242530867,160,10/15/2005 12:00:00 AM,
64,27,253221481,117,10/13/2005 12:00:00 AM,
