150120557,8,D,63.4,
89625452,17,B-,80.8,
459692930,8,C-,71,
131493310,6,D-,61.5,Incomplete
459692930,7,B,85.7,
234813752,17,,0,
253221481,8,,0,
242530867,7,C,74.1,
172785946,9,,0,
242530867,9,A,99.3,
369219713,5,C+,78.3,
459692930,1,,0,
418911842,7,,0,
185445705,1,,0,
165299473,6,A-,90.3,Incomplete
440965598,9,C,73.7,
272741205,5,,0,
174940733,17,D-,61.8,
150120557,10,,0,Incomplete
272741205,6,C,74.7,
165299473,4,C,75.9,
125109089,17,C-,72.7,
262329876,3,F,33.9,
330200714,2,,0,
199768032,3,D,66.1,
470389394,6,B-,81.7,
330200714,1,,0,
